product_id,product_name,category,sku,unit_price,shelf_life_days,reorder_level,max_stock
PROD00001,Snacks & Chips - Product 1,Snacks & Chips,SKU000001,326.92,19,27,112
PROD00002,Snacks & Chips - Product 2,Snacks & Chips,SKU000002,127.14,59,44,72
PROD00003,Snacks & Chips - Product 3,Snacks & Chips,SKU000003,303.44,23,11,73
PROD00004,Snacks & Chips - Product 4,Snacks & Chips,SKU000004,124.95,265,48,56
PROD00005,Snacks & Chips - Product 5,Snacks & Chips,SKU000005,289.4,339,44,157
PROD00006,Snacks & Chips - Product 6,Snacks & Chips,SKU000006,125.81,308,27,51
PROD00007,Snacks & Chips - Product 7,Snacks & Chips,SKU000007,384.23,88,37,137
PROD00008,Snacks & Chips - Product 8,Snacks & Chips,SKU000008,153.38,117,31,76
PROD00009,Snacks & Chips - Product 9,Snacks & Chips,SKU000009,64.52,56,32,138
PROD00010,Snacks & Chips - Product 10,Snacks & Chips,SKU000010,309.79,29,39,187
PROD00011,Snacks & Chips - Product 11,Snacks & Chips,SKU000011,79.92,200,15,191
PROD00012,Snacks & Chips - Product 12,Snacks & Chips,SKU000012,160.73,328,49,142
PROD00013,Snacks & Chips - Product 13,Snacks & Chips,SKU000013,297.13,42,12,108
PROD00014,Snacks & Chips - Product 14,Snacks & Chips,SKU000014,391.07,47,24,75
PROD00015,Snacks & Chips - Product 15,Snacks & Chips,SKU000015,202.46,239,50,143
PROD00016,Snacks & Chips - Product 16,Snacks & Chips,SKU000016,98.07,188,23,118
PROD00017,Snacks & Chips - Product 17,Snacks & Chips,SKU000017,356.87,356,14,93
PROD00018,Snacks & Chips - Product 18,Snacks & Chips,SKU000018,276.39,132,20,168
PROD00019,Snacks & Chips - Product 19,Snacks & Chips,SKU000019,202.14,334,45,106
PROD00020,Snacks & Chips - Product 20,Snacks & Chips,SKU000020,348.61,35,24,58
PROD00021,Snacks & Chips - Product 21,Snacks & Chips,SKU000021,406.42,212,27,66
PROD00022,Snacks & Chips - Product 22,Snacks & Chips,SKU000022,121.27,297,30,104
PROD00023,Snacks & Chips - Product 23,Snacks & Chips,SKU000023,334.61,209,39,86
PROD00024,Snacks & Chips - Product 24,Snacks & Chips,SKU000024,147.14,133,45,187
PROD00025,Snacks & Chips - Product 25,Snacks & Chips,SKU000025,146.12,306,37,199
PROD00026,Snacks & Chips - Product 26,Snacks & Chips,SKU000026,211.71,119,18,180
PROD00027,Snacks & Chips - Product 27,Snacks & Chips,SKU000027,256.89,31,17,89
PROD00028,Snacks & Chips - Product 28,Snacks & Chips,SKU000028,321.17,355,37,66
PROD00029,Snacks & Chips - Product 29,Snacks & Chips,SKU000029,204.69,312,39,185
PROD00030,Snacks & Chips - Product 30,Snacks & Chips,SKU000030,140.68,290,10,79
PROD00031,Beverages - Product 1,Beverages,SKU000031,347.22,281,27,137
PROD00032,Beverages - Product 2,Beverages,SKU000032,73.55,229,20,166
PROD00033,Beverages - Product 3,Beverages,SKU000033,21.56,141,42,95
PROD00034,Beverages - Product 4,Beverages,SKU000034,263.69,61,50,126
PROD00035,Beverages - Product 5,Beverages,SKU000035,424.0,266,48,100
PROD00036,Beverages - Product 6,Beverages,SKU000036,93.36,89,44,185
PROD00037,Beverages - Product 7,Beverages,SKU000037,460.88,313,30,175
PROD00038,Beverages - Product 8,Beverages,SKU000038,29.35,192,29,111
PROD00039,Beverages - Product 9,Beverages,SKU000039,47.8,297,15,71
PROD00040,Beverages - Product 10,Beverages,SKU000040,371.32,42,44,82
PROD00041,Beverages - Product 11,Beverages,SKU000041,81.63,250,45,92
PROD00042,Beverages - Product 12,Beverages,SKU000042,147.23,317,37,104
PROD00043,Beverages - Product 13,Beverages,SKU000043,465.88,360,22,129
PROD00044,Beverages - Product 14,Beverages,SKU000044,211.52,350,33,162
PROD00045,Beverages - Product 15,Beverages,SKU000045,451.81,238,17,113
PROD00046,Beverages - Product 16,Beverages,SKU000046,127.85,180,11,200
PROD00047,Beverages - Product 17,Beverages,SKU000047,285.88,308,24,51
PROD00048,Beverages - Product 18,Beverages,SKU000048,54.08,330,13,108
PROD00049,Beverages - Product 19,Beverages,SKU000049,52.35,23,31,68
PROD00050,Beverages - Product 20,Beverages,SKU000050,266.79,149,41,104
PROD00051,Dairy & Milk - Product 1,Dairy & Milk,SKU000051,278.83,299,46,171
PROD00052,Dairy & Milk - Product 2,Dairy & Milk,SKU000052,136.64,249,36,98
PROD00053,Dairy & Milk - Product 3,Dairy & Milk,SKU000053,65.28,344,37,140
PROD00054,Dairy & Milk - Product 4,Dairy & Milk,SKU000054,223.32,246,13,75
PROD00055,Dairy & Milk - Product 5,Dairy & Milk,SKU000055,49.09,180,16,113
PROD00056,Dairy & Milk - Product 6,Dairy & Milk,SKU000056,111.96,281,38,85
PROD00057,Dairy & Milk - Product 7,Dairy & Milk,SKU000057,222.5,149,39,113
PROD00058,Dairy & Milk - Product 8,Dairy & Milk,SKU000058,439.75,45,38,190
PROD00059,Dairy & Milk - Product 9,Dairy & Milk,SKU000059,67.0,340,44,53
PROD00060,Dairy & Milk - Product 10,Dairy & Milk,SKU000060,485.12,128,20,154
PROD00061,Dairy & Milk - Product 11,Dairy & Milk,SKU000061,253.11,116,35,65
PROD00062,Dairy & Milk - Product 12,Dairy & Milk,SKU000062,99.03,8,34,117
PROD00063,Dairy & Milk - Product 13,Dairy & Milk,SKU000063,464.73,239,28,158
PROD00064,Dairy & Milk - Product 14,Dairy & Milk,SKU000064,354.36,291,41,89
PROD00065,Dairy & Milk - Product 15,Dairy & Milk,SKU000065,111.15,118,13,198
